route_line,from_station,to_station,sequence
West Line (MAS-JTJ),MAS,BBQ,2
West Line (MAS-JTJ),BBQ,VJM,3
West Line (MAS-JTJ),VJM,PER,4
West Line (MAS-JTJ),PER,PCW,5
West Line (MAS-JTJ),PCW,PEW,6
West Line (MAS-JTJ),PEW,VLK,7
West Line (MAS-JTJ),VLK,KOTR,8
West Line (MAS-JTJ),KOTR,PVM,9
West Line (MAS-JTJ),PVM,ABU,10
West Line (MAS-JTJ),ABU,TMVL,11
West Line (MAS-JTJ),TMVL,ANNR,12
West Line (MAS-JTJ),ANNR,AVD,13
West Line (MAS-JTJ),AVD,HC,14
West Line (MAS-JTJ),HC,PAB,15
West Line (MAS-JTJ),PAB,PTMS,16
West Line (MAS-JTJ),PTMS,NEC,17
West Line (MAS-JTJ),NEC,TI,18
West Line (MAS-JTJ),TI,VEU,19
West Line (MAS-JTJ),VEU,SVR,20
West Line (MAS-JTJ),SVR,PTLR,21
West Line (MAS-JTJ),PTLR,TRL,22
West Line (MAS-JTJ),TRL,EGT,23
West Line (MAS-JTJ),EGT,KBT,24
West Line (MAS-JTJ),KBT,SPAM,25
West Line (MAS-JTJ),SPAM,MAF,26
West Line (MAS-JTJ),MAF,TO,27
West Line (MAS-JTJ),TO,MSU,28
West Line (MAS-JTJ),MSU,PLMG,29
West Line (MAS-JTJ),PLMG,AJJ,30
West Line (MAS-JTJ),AJJ,CTRE,31
West Line (MAS-JTJ),CTRE,AVN,32
West Line (MAS-JTJ),AVN,MDVE,33
West Line (MAS-JTJ),MDVE,SHU,34
West Line (MAS-JTJ),SHU,TUG,35
West Line (MAS-JTJ),TUG,WJR,36
West Line (MAS-JTJ),WJR,MCN,37
West Line (MAS-JTJ),MCN,THL,38
West Line (MAS-JTJ),THL,SVUR,39
West Line (MAS-JTJ),SVUR,KPD,40
West Line (MAS-JTJ),KPD,LTI,41
West Line (MAS-JTJ),LTI,VJ,42
West Line (MAS-JTJ),VJ,KVN,43
West Line (MAS-JTJ),KVN,GYM,44
West Line (MAS-JTJ),GYM,MEH,45
West Line (MAS-JTJ),MEH,VLT,46
West Line (MAS-JTJ),VLT,MPI,47
West Line (MAS-JTJ),MPI,PCV,48
West Line (MAS-JTJ),PCV,AB,49
West Line (MAS-JTJ),AB,VGM,50
West Line (MAS-JTJ),VGM,VN,51
West Line (MAS-JTJ),VN,KDY,52
West Line (MAS-JTJ),KDY,JTJ,53
North Line (MAS-GDR),TNP,KOK,2
North Line (MAS-GDR),KOK,TVT,3
North Line (MAS-GDR),TVT,WCN,4
North Line (MAS-GDR),WCN,KAVM,5
North Line (MAS-GDR),KAVM,ENR,6
North Line (MAS-GDR),ENR,AIP,7
