division,route_line,sequence,station_code,orig_station_name,normalized_name,distance
CHENNAI,West Line (MAS-JTJ),1,MAS,MGR Chennai Central,mgr chennai central,
CHENNAI,West Line (MAS-JTJ),2,BBQ,Basin Bridge Junction,basin bridge junction,
CHENNAI,West Line (MAS-JTJ),3,VJM,Vyasarpadi Jeeva,vyasarpadi jeeva,
CHENNAI,West Line (MAS-JTJ),4,PER,Perambur,perambur,
CHENNAI,West Line (MAS-JTJ),5,PCW,Perambur Carriage Works,perambur carriage works,
CHENNAI,West Line (MAS-JTJ),6,PEW,Perambur Loco Works,perambur loco works,
CHENNAI,West Line (MAS-JTJ),7,VLK,Villivakkam,villivakkam,
CHENNAI,West Line (MAS-JTJ),8,KOTR,Korattur,korattur,
CHENNAI,West Line (MAS-JTJ),9,PVM,Pataravakkam,pataravakkam,
CHENNAI,West Line (MAS-JTJ),10,ABU,Ambattur,ambattur,
CHENNAI,West Line (MAS-JTJ),11,TMVL,Tirumullaivayil,tirumullaivayil,
CHENNAI,West Line (MAS-JTJ),12,ANNR,Annanur,annanur,
CHENNAI,West Line (MAS-JTJ),13,AVD,Avadi,avadi,
CHENNAI,West Line (MAS-JTJ),14,HC,Hindu College,hindu college,
CHENNAI,West Line (MAS-JTJ),15,PAB,Patabiram,patabiram,
CHENNAI,West Line (MAS-JTJ),16,PTMS,Patabiram Military Siding,patabiram military siding,
CHENNAI,West Line (MAS-JTJ),17,NEC,Nemilichery,nemilichery,
CHENNAI,West Line (MAS-JTJ),18,TI,Tiruninravur,tiruninravur,
CHENNAI,West Line (MAS-JTJ),19,VEU,Veppampattu,veppampattu,
CHENNAI,West Line (MAS-JTJ),20,SVR,Sevvpet Road,sevvpet road,
CHENNAI,West Line (MAS-JTJ),21,PTLR,Putlur,putlur,
CHENNAI,West Line (MAS-JTJ),22,TRL,Tiruvallur,tiruvallur,
CHENNAI,West Line (MAS-JTJ),23,EGT,Egattur,egattur,
CHENNAI,West Line (MAS-JTJ),24,KBT,Kadambattur,kadambattur,
CHENNAI,West Line (MAS-JTJ),25,SPAM,Senji Panambakkam,senji panambakkam,
CHENNAI,West Line (MAS-JTJ),26,MAF,Manavur,manavur,
CHENNAI,West Line (MAS-JTJ),27,TO,Tiruvalangadu,tiruvalangadu,
CHENNAI,West Line (MAS-JTJ),28,MSU,Mosur,mosur,
CHENNAI,West Line (MAS-JTJ),29,PLMG,Puliyamangalam,puliyamangalam,
CHENNAI,West Line (MAS-JTJ),30,AJJ,Arakkonam Junction,arakkonam junction,
CHENNAI,West Line (MAS-JTJ),31,CTRE,Chiteri,chiteri,
CHENNAI,West Line (MAS-JTJ),32,AVN,Anavardikhanpet,anavardikhanpet,
CHENNAI,West Line (MAS-JTJ),33,MDVE,Mahendravadi,mahendravadi,
CHENNAI,West Line (MAS-JTJ),34,SHU,Sholinghur,sholinghur,
CHENNAI,West Line (MAS-JTJ),35,TUG,Thalangai,thalangai,
CHENNAI,West Line (MAS-JTJ),36,WJR,Walajah Road Junction,walajah road junction,
CHENNAI,West Line (MAS-JTJ),37,MCN,Mukundarayapuram,mukundarayapuram,
CHENNAI,West Line (MAS-JTJ),38,THL,Tiruvalam,tiruvalam,
CHENNAI,West Line (MAS-JTJ),39,SVUR,Sevur,sevur,
CHENNAI,West Line (MAS-JTJ),40,KPD,Katpadi Junction,katpadi junction,
CHENNAI,West Line (MAS-JTJ),41,LTI,Lateri,lateri,
CHENNAI,West Line (MAS-JTJ),42,VJ,Virinchipuram,virinchipuram,
CHENNAI,West Line (MAS-JTJ),43,KVN,Kavanur,kavanur,
CHENNAI,West Line (MAS-JTJ),44,GYM,Gudiyatam,gudiyatam,
CHENNAI,West Line (MAS-JTJ),45,MEH,Melalathur,melalathur,
CHENNAI,West Line (MAS-JTJ),46,VLT,Valathoor,valathoor,
CHENNAI,West Line (MAS-JTJ),47,MPI,Melpati,melpati,
CHENNAI,West Line (MAS-JTJ),48,PCV,Pachakuppam,pachakuppam,
CHENNAI,West Line (MAS-JTJ),49,AB,Ambur,ambur,
CHENNAI,West Line (MAS-JTJ),50,VGM,Vinnamangalam,vinnamangalam,
CHENNAI,West Line (MAS-JTJ),51,VN,Vaniyambadi,vaniyambadi,
CHENNAI,West Line (MAS-JTJ),52,KDY,Ketandapatti,ketandapatti,
CHENNAI,West Line (MAS-JTJ),53,JTJ,Jolarpettai Junction,jolarpettai junction,
CHENNAI,North Line (MAS-GDR),1,TNP,Tondiarpet,tondiarpet,
CHENNAI,North Line (MAS-GDR),2,KOK,Korukkupet,korukkupet,
CHENNAI,North Line (MAS-GDR),3,TVT,Tiruvottiyur,tiruvottiyur,
CHENNAI,North Line (MAS-GDR),4,WCN,Wimco Nagar,wimco nagar,
CHENNAI,North Line (MAS-GDR),5,KAVM,Kathivakkam,kathivakkam,
CHENNAI,North Line (MAS-GDR),6,ENR,Ennore,ennore,
CHENNAI,North Line (MAS-GDR),7,AIP,Atipattu,atipattu,
CHENNAI,North Line (MAS-GDR),8,AIPP,Atipattu Pudu Nagar,atipattu pudu nagar,
CHENNAI,North Line (MAS-GDR),9,NPKM,Nandiambakkam,nandiambakkam,
CHENNAI,North Line (MAS-GDR),10,MJR,Minjur,minjur,
CHENNAI,North Line (MAS-GDR),11,APB,Anuppampattu,anuppampattu,
CHENNAI,North Line (MAS-GDR),12,PON,Ponneri,ponneri,
CHENNAI,North Line (MAS-GDR),13,KVP,Kavaraipettai,kavaraipettai,
CHENNAI,North Line (MAS-GDR),14,GPD,Gummidipundi,gummidipundi,
CHENNAI,North Line (MAS-GDR),15,ELR,Elavur,elavur,
CHENNAI,North Line (MAS-GDR),16,AKM,Arambakkam,arambakkam,
CHENNAI,North Line (MAS-GDR),17,TADA,Tada,tada,
CHENNAI,North Line (MAS-GDR),18,SPE,Sullurupeta,sullurupeta,
CHENNAI,North Line (MAS-GDR),19,PEL,Polireddipalem,polireddipalem,
CHENNAI,North Line (MAS-GDR),20,DVR,Doravari Chatram,doravari chatram,
CHENNAI,North Line (MAS-GDR),21,NYP,Nayudupeta,nayudupeta,
CHENNAI,North Line (MAS-GDR),22,PYA,Pedapariya,pedapariya,
CHENNAI,North Line (MAS-GDR),23,ODUR,Odur,odur,
CHENNAI,North Line (MAS-GDR),24,GDR,Gudur Junction,gudur junction,
CHENNAI,South Line (MS-VM),1,MS,Chennai Egmore,chennai egmore,
CHENNAI,South Line (MS-VM),2,MSC,Chetpet,chetpet,
CHENNAI,South Line (MS-VM),3,NBK,Nungambakkam,nungambakkam,
CHENNAI,South Line (MS-VM),4,MKK,Kodambakkam,kodambakkam,
CHENNAI,South Line (MS-VM),5,MBM,Mambalam,mambalam,
CHENNAI,South Line (MS-VM),6,SP,Saidapet,saidapet,
CHENNAI,South Line (MS-VM),7,GDY,Guindy,guindy,
