sectionCandidateId,fromStationCode,toStationCode,fromStationName,toStationName,routeName,division,zone,sequence,direction,distance,distanceStatus,sourceId,dataVersionId,verificationStatus,authorityLevel
SEC-MAS-BBQ-0f5776,MAS,BBQ,MGR Chennai Central,Basin Bridge Junction,West Line (MAS-JTJ),CHENNAI,SR,2,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-BBQ-VJM-acf754,BBQ,VJM,Basin Bridge Junction,Vyasarpadi Jeeva,West Line (MAS-JTJ),CHENNAI,SR,3,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-VJM-PER-3de67f,VJM,PER,Vyasarpadi Jeeva,Perambur,West Line (MAS-JTJ),CHENNAI,SR,4,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-PER-PCW-b2e795,PER,PCW,Perambur,Perambur Carriage Works,West Line (MAS-JTJ),CHENNAI,SR,5,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-PCW-PEW-63e511,PCW,PEW,Perambur Carriage Works,Perambur Loco Works,West Line (MAS-JTJ),CHENNAI,SR,6,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-PEW-VLK-99f8c8,PEW,VLK,Perambur Loco Works,Villivakkam,West Line (MAS-JTJ),CHENNAI,SR,7,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-VLK-KOTR-2a2e23,VLK,KOTR,Villivakkam,Korattur,West Line (MAS-JTJ),CHENNAI,SR,8,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-KOTR-PVM-eb0946,KOTR,PVM,Korattur,Pataravakkam,West Line (MAS-JTJ),CHENNAI,SR,9,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-PVM-ABU-604b02,PVM,ABU,Pataravakkam,Ambattur,West Line (MAS-JTJ),CHENNAI,SR,10,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-ABU-TMVL-be1e75,ABU,TMVL,Ambattur,Tirumullaivayil,West Line (MAS-JTJ),CHENNAI,SR,11,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-TMVL-ANNR-b9244c,TMVL,ANNR,Tirumullaivayil,Annanur,West Line (MAS-JTJ),CHENNAI,SR,12,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-ANNR-AVD-8ab7c0,ANNR,AVD,Annanur,Avadi,West Line (MAS-JTJ),CHENNAI,SR,13,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-AVD-HC-1e0e35,AVD,HC,Avadi,Hindu College,West Line (MAS-JTJ),CHENNAI,SR,14,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-HC-PAB-672fbd,HC,PAB,Hindu College,Patabiram,West Line (MAS-JTJ),CHENNAI,SR,15,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-PAB-PTMS-81a34d,PAB,PTMS,Patabiram,Patabiram Military Siding,West Line (MAS-JTJ),CHENNAI,SR,16,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-PTMS-NEC-e15aa0,PTMS,NEC,Patabiram Military Siding,Nemilichery,West Line (MAS-JTJ),CHENNAI,SR,17,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-NEC-TI-755493,NEC,TI,Nemilichery,Tiruninravur,West Line (MAS-JTJ),CHENNAI,SR,18,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-TI-VEU-518da3,TI,VEU,Tiruninravur,Veppampattu,West Line (MAS-JTJ),CHENNAI,SR,19,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-VEU-SVR-5f3b61,VEU,SVR,Veppampattu,Sevvpet Road,West Line (MAS-JTJ),CHENNAI,SR,20,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-SVR-PTLR-541a2b,SVR,PTLR,Sevvpet Road,Putlur,West Line (MAS-JTJ),CHENNAI,SR,21,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-PTLR-TRL-0b1d32,PTLR,TRL,Putlur,Tiruvallur,West Line (MAS-JTJ),CHENNAI,SR,22,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-TRL-EGT-b8f7ff,TRL,EGT,Tiruvallur,Egattur,West Line (MAS-JTJ),CHENNAI,SR,23,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
