directed_edge,undirected_edge,route_line,distanceStatus
MAS->BBQ,BBQ-MAS,West Line (MAS-JTJ),NOT_AVAILABLE
BBQ->VJM,BBQ-VJM,West Line (MAS-JTJ),NOT_AVAILABLE
VJM->PER,PER-VJM,West Line (MAS-JTJ),NOT_AVAILABLE
PER->PCW,PCW-PER,West Line (MAS-JTJ),NOT_AVAILABLE
PCW->PEW,PCW-PEW,West Line (MAS-JTJ),NOT_AVAILABLE
PEW->VLK,PEW-VLK,West Line (MAS-JTJ),NOT_AVAILABLE
VLK->KOTR,KOTR-VLK,West Line (MAS-JTJ),NOT_AVAILABLE
KOTR->PVM,KOTR-PVM,West Line (MAS-JTJ),NOT_AVAILABLE
PVM->ABU,ABU-PVM,West Line (MAS-JTJ),NOT_AVAILABLE
ABU->TMVL,ABU-TMVL,West Line (MAS-JTJ),NOT_AVAILABLE
TMVL->ANNR,ANNR-TMVL,West Line (MAS-JTJ),NOT_AVAILABLE
ANNR->AVD,ANNR-AVD,West Line (MAS-JTJ),NOT_AVAILABLE
AVD->HC,AVD-HC,West Line (MAS-JTJ),NOT_AVAILABLE
HC->PAB,HC-PAB,West Line (MAS-JTJ),NOT_AVAILABLE
PAB->PTMS,PAB-PTMS,West Line (MAS-JTJ),NOT_AVAILABLE
PTMS->NEC,NEC-PTMS,West Line (MAS-JTJ),NOT_AVAILABLE
NEC->TI,NEC-TI,West Line (MAS-JTJ),NOT_AVAILABLE
TI->VEU,TI-VEU,West Line (MAS-JTJ),NOT_AVAILABLE
VEU->SVR,SVR-VEU,West Line (MAS-JTJ),NOT_AVAILABLE
SVR->PTLR,PTLR-SVR,West Line (MAS-JTJ),NOT_AVAILABLE
PTLR->TRL,PTLR-TRL,West Line (MAS-JTJ),NOT_AVAILABLE
TRL->EGT,EGT-TRL,West Line (MAS-JTJ),NOT_AVAILABLE
EGT->KBT,EGT-KBT,West Line (MAS-JTJ),NOT_AVAILABLE
KBT->SPAM,KBT-SPAM,West Line (MAS-JTJ),NOT_AVAILABLE
SPAM->MAF,MAF-SPAM,West Line (MAS-JTJ),NOT_AVAILABLE
MAF->TO,MAF-TO,West Line (MAS-JTJ),NOT_AVAILABLE
TO->MSU,MSU-TO,West Line (MAS-JTJ),NOT_AVAILABLE
MSU->PLMG,MSU-PLMG,West Line (MAS-JTJ),NOT_AVAILABLE
PLMG->AJJ,AJJ-PLMG,West Line (MAS-JTJ),NOT_AVAILABLE
AJJ->CTRE,AJJ-CTRE,West Line (MAS-JTJ),NOT_AVAILABLE
CTRE->AVN,AVN-CTRE,West Line (MAS-JTJ),NOT_AVAILABLE
AVN->MDVE,AVN-MDVE,West Line (MAS-JTJ),NOT_AVAILABLE
MDVE->SHU,MDVE-SHU,West Line (MAS-JTJ),NOT_AVAILABLE
SHU->TUG,SHU-TUG,West Line (MAS-JTJ),NOT_AVAILABLE
TUG->WJR,TUG-WJR,West Line (MAS-JTJ),NOT_AVAILABLE
WJR->MCN,MCN-WJR,West Line (MAS-JTJ),NOT_AVAILABLE
MCN->THL,MCN-THL,West Line (MAS-JTJ),NOT_AVAILABLE
THL->SVUR,SVUR-THL,West Line (MAS-JTJ),NOT_AVAILABLE
SVUR->KPD,KPD-SVUR,West Line (MAS-JTJ),NOT_AVAILABLE
KPD->LTI,KPD-LTI,West Line (MAS-JTJ),NOT_AVAILABLE
LTI->VJ,LTI-VJ,West Line (MAS-JTJ),NOT_AVAILABLE
VJ->KVN,KVN-VJ,West Line (MAS-JTJ),NOT_AVAILABLE
KVN->GYM,GYM-KVN,West Line (MAS-JTJ),NOT_AVAILABLE
GYM->MEH,GYM-MEH,West Line (MAS-JTJ),NOT_AVAILABLE
MEH->VLT,MEH-VLT,West Line (MAS-JTJ),NOT_AVAILABLE
VLT->MPI,MPI-VLT,West Line (MAS-JTJ),NOT_AVAILABLE
MPI->PCV,MPI-PCV,West Line (MAS-JTJ),NOT_AVAILABLE
PCV->AB,AB-PCV,West Line (MAS-JTJ),NOT_AVAILABLE
AB->VGM,AB-VGM,West Line (MAS-JTJ),NOT_AVAILABLE
VGM->VN,VGM-VN,West Line (MAS-JTJ),NOT_AVAILABLE
VN->KDY,KDY-VN,West Line (MAS-JTJ),NOT_AVAILABLE
KDY->JTJ,JTJ-KDY,West Line (MAS-JTJ),NOT_AVAILABLE
TNP->KOK,KOK-TNP,North Line (MAS-GDR),NOT_AVAILABLE
KOK->TVT,KOK-TVT,North Line (MAS-GDR),NOT_AVAILABLE
TVT->WCN,TVT-WCN,North Line (MAS-GDR),NOT_AVAILABLE
WCN->KAVM,KAVM-WCN,North Line (MAS-GDR),NOT_AVAILABLE
KAVM->ENR,ENR-KAVM,North Line (MAS-GDR),NOT_AVAILABLE
ENR->AIP,AIP-ENR,North Line (MAS-GDR),NOT_AVAILABLE
AIP->AIPP,AIP-AIPP,North Line (MAS-GDR),NOT_AVAILABLE
AIPP->NPKM,AIPP-NPKM,North Line (MAS-GDR),NOT_AVAILABLE
NPKM->MJR,MJR-NPKM,North Line (MAS-GDR),NOT_AVAILABLE
MJR->APB,APB-MJR,North Line (MAS-GDR),NOT_AVAILABLE
APB->PON,APB-PON,North Line (MAS-GDR),NOT_AVAILABLE
PON->KVP,KVP-PON,North Line (MAS-GDR),NOT_AVAILABLE
KVP->GPD,GPD-KVP,North Line (MAS-GDR),NOT_AVAILABLE
GPD->ELR,ELR-GPD,North Line (MAS-GDR),NOT_AVAILABLE
ELR->AKM,AKM-ELR,North Line (MAS-GDR),NOT_AVAILABLE
AKM->TADA,AKM-TADA,North Line (MAS-GDR),NOT_AVAILABLE
TADA->SPE,SPE-TADA,North Line (MAS-GDR),NOT_AVAILABLE
SPE->PEL,PEL-SPE,North Line (MAS-GDR),NOT_AVAILABLE
PEL->DVR,DVR-PEL,North Line (MAS-GDR),NOT_AVAILABLE
DVR->NYP,DVR-NYP,North Line (MAS-GDR),NOT_AVAILABLE
NYP->PYA,NYP-PYA,North Line (MAS-GDR),NOT_AVAILABLE
PYA->ODUR,ODUR-PYA,North Line (MAS-GDR),NOT_AVAILABLE
ODUR->GDR,GDR-ODUR,North Line (MAS-GDR),NOT_AVAILABLE
MS->MSC,MS-MSC,South Line (MS-VM),NOT_AVAILABLE
MSC->NBK,MSC-NBK,South Line (MS-VM),NOT_AVAILABLE
NBK->MKK,MKK-NBK,South Line (MS-VM),NOT_AVAILABLE
MKK->MBM,MBM-MKK,South Line (MS-VM),NOT_AVAILABLE
MBM->SP,MBM-SP,South Line (MS-VM),NOT_AVAILABLE
SP->GDY,GDY-SP,South Line (MS-VM),NOT_AVAILABLE
GDY->STM,GDY-STM,South Line (MS-VM),NOT_AVAILABLE
STM->PZA,PZA-STM,South Line (MS-VM),NOT_AVAILABLE
PZA->MN,MN-PZA,South Line (MS-VM),NOT_AVAILABLE
MN->TLM,MN-TLM,South Line (MS-VM),NOT_AVAILABLE
TLM->PV,PV-TLM,South Line (MS-VM),NOT_AVAILABLE
PV->CMP,CMP-PV,South Line (MS-VM),NOT_AVAILABLE
CMP->TBMS,CMP-TBMS,South Line (MS-VM),NOT_AVAILABLE
TBMS->TBM,TBM-TBMS,South Line (MS-VM),NOT_AVAILABLE
TBM->PRGL,PRGL-TBM,South Line (MS-VM),NOT_AVAILABLE
PRGL->VDR,PRGL-VDR,South Line (MS-VM),NOT_AVAILABLE
VDR->UPM,UPM-VDR,South Line (MS-VM),NOT_AVAILABLE
UPM->GI,GI-UPM,South Line (MS-VM),NOT_AVAILABLE
GI->POTI,GI-POTI,South Line (MS-VM),NOT_AVAILABLE
