division,route_line,sequence,station_code,station_name,distance_km_from_origin
CHENNAI,West Line (MAS-JTJ),1,MAS,MGR Chennai Central,
CHENNAI,West Line (MAS-JTJ),2,BBQ,Basin Bridge Junction,
CHENNAI,West Line (MAS-JTJ),3,VJM,Vyasarpadi Jeeva,
CHENNAI,West Line (MAS-JTJ),4,PER,Perambur,
CHENNAI,West Line (MAS-JTJ),5,PCW,Perambur Carriage Works,
CHENNAI,West Line (MAS-JTJ),6,PEW,Perambur Loco Works,
CHENNAI,West Line (MAS-JTJ),7,VLK,Villivakkam,
CHENNAI,West Line (MAS-JTJ),8,KOTR,Korattur,
CHENNAI,West Line (MAS-JTJ),9,PVM,Pataravakkam,
CHENNAI,West Line (MAS-JTJ),10,ABU,Ambattur,
CHENNAI,West Line (MAS-JTJ),11,TMVL,Tirumullaivayil,
CHENNAI,West Line (MAS-JTJ),12,ANNR,Annanur,
CHENNAI,West Line (MAS-JTJ),13,AVD,Avadi,
CHENNAI,West Line (MAS-JTJ),14,HC,Hindu College,
CHENNAI,West Line (MAS-JTJ),15,PAB,Patabiram,
CHENNAI,West Line (MAS-JTJ),16,PTMS,Patabiram Military Siding,
CHENNAI,West Line (MAS-JTJ),17,NEC,Nemilichery,
CHENNAI,West Line (MAS-JTJ),18,TI,Tiruninravur,
CHENNAI,West Line (MAS-JTJ),19,VEU,Veppampattu,
CHENNAI,West Line (MAS-JTJ),20,SVR,Sevvpet Road,
CHENNAI,West Line (MAS-JTJ),21,PTLR,Putlur,
CHENNAI,West Line (MAS-JTJ),22,TRL,Tiruvallur,
CHENNAI,West Line (MAS-JTJ),23,EGT,Egattur,
CHENNAI,West Line (MAS-JTJ),24,KBT,Kadambattur,
CHENNAI,West Line (MAS-JTJ),25,SPAM,Senji Panambakkam,
CHENNAI,West Line (MAS-JTJ),26,MAF,Manavur,
CHENNAI,West Line (MAS-JTJ),27,TO,Tiruvalangadu,
CHENNAI,West Line (MAS-JTJ),28,MSU,Mosur,
CHENNAI,West Line (MAS-JTJ),29,PLMG,Puliyamangalam,
CHENNAI,West Line (MAS-JTJ),30,AJJ,Arakkonam Junction,
CHENNAI,West Line (MAS-JTJ),31,CTRE,Chiteri,
CHENNAI,West Line (MAS-JTJ),32,AVN,Anavardikhanpet,
CHENNAI,West Line (MAS-JTJ),33,MDVE,Mahendravadi,
CHENNAI,West Line (MAS-JTJ),34,SHU,Sholinghur,
CHENNAI,West Line (MAS-JTJ),35,TUG,Thalangai,
CHENNAI,West Line (MAS-JTJ),36,WJR,Walajah Road Junction,
CHENNAI,West Line (MAS-JTJ),37,MCN,Mukundarayapuram,
CHENNAI,West Line (MAS-JTJ),38,THL,Tiruvalam,
CHENNAI,West Line (MAS-JTJ),39,SVUR,Sevur,
CHENNAI,West Line (MAS-JTJ),40,KPD,Katpadi Junction,
CHENNAI,West Line (MAS-JTJ),41,LTI,Lateri,
CHENNAI,West Line (MAS-JTJ),42,VJ,Virinchipuram,
CHENNAI,West Line (MAS-JTJ),43,KVN,Kavanur,
CHENNAI,West Line (MAS-JTJ),44,GYM,Gudiyatam,
CHENNAI,West Line (MAS-JTJ),45,MEH,Melalathur,
CHENNAI,West Line (MAS-JTJ),46,VLT,Valathoor,
CHENNAI,West Line (MAS-JTJ),47,MPI,Melpati,
CHENNAI,West Line (MAS-JTJ),48,PCV,Pachakuppam,
CHENNAI,West Line (MAS-JTJ),49,AB,Ambur,
CHENNAI,West Line (MAS-JTJ),50,VGM,Vinnamangalam,
CHENNAI,West Line (MAS-JTJ),51,VN,Vaniyambadi,
CHENNAI,West Line (MAS-JTJ),52,KDY,Ketandapatti,
CHENNAI,West Line (MAS-JTJ),53,JTJ,Jolarpettai Junction,
CHENNAI,North Line (MAS-GDR),1,TNP,Tondiarpet,
CHENNAI,North Line (MAS-GDR),2,KOK,Korukkupet,
CHENNAI,North Line (MAS-GDR),3,TVT,Tiruvottiyur,
CHENNAI,North Line (MAS-GDR),4,WCN,Wimco Nagar,
CHENNAI,North Line (MAS-GDR),5,KAVM,Kathivakkam,
CHENNAI,North Line (MAS-GDR),6,ENR,Ennore,
CHENNAI,North Line (MAS-GDR),7,AIP,Atipattu,
CHENNAI,North Line (MAS-GDR),8,AIPP,Atipattu Pudu Nagar,
CHENNAI,North Line (MAS-GDR),9,NPKM,Nandiambakkam,
CHENNAI,North Line (MAS-GDR),10,MJR,Minjur,
CHENNAI,North Line (MAS-GDR),11,APB,Anuppampattu,
CHENNAI,North Line (MAS-GDR),12,PON,Ponneri,
CHENNAI,North Line (MAS-GDR),13,KVP,Kavaraipettai,
CHENNAI,North Line (MAS-GDR),14,GPD,Gummidipundi,
CHENNAI,North Line (MAS-GDR),15,ELR,Elavur,
CHENNAI,North Line (MAS-GDR),16,AKM,Arambakkam,
CHENNAI,North Line (MAS-GDR),17,TADA,Tada,
CHENNAI,North Line (MAS-GDR),18,SPE,Sullurupeta,
CHENNAI,North Line (MAS-GDR),19,PEL,Polireddipalem,
CHENNAI,North Line (MAS-GDR),20,DVR,Doravari Chatram,
CHENNAI,North Line (MAS-GDR),21,NYP,Nayudupeta,
CHENNAI,North Line (MAS-GDR),22,PYA,Pedapariya,
CHENNAI,North Line (MAS-GDR),23,ODUR,Odur,
CHENNAI,North Line (MAS-GDR),24,GDR,Gudur Junction,
CHENNAI,South Line (MS-VM),1,MS,Chennai Egmore,
CHENNAI,South Line (MS-VM),2,MSC,Chetpet,
CHENNAI,South Line (MS-VM),3,NBK,Nungambakkam,
CHENNAI,South Line (MS-VM),4,MKK,Kodambakkam,
CHENNAI,South Line (MS-VM),5,MBM,Mambalam,
CHENNAI,South Line (MS-VM),6,SP,Saidapet,
CHENNAI,South Line (MS-VM),7,GDY,Guindy,
CHENNAI,South Line (MS-VM),8,STM,St Thomas Mount,
CHENNAI,South Line (MS-VM),9,PZA,Palavanthangal,
CHENNAI,South Line (MS-VM),10,MN,Minambakkam,
CHENNAI,South Line (MS-VM),11,TLM,Tirusulam,
CHENNAI,South Line (MS-VM),12,PV,Pallavaram,
CHENNAI,South Line (MS-VM),13,CMP,Chromepet,
CHENNAI,South Line (MS-VM),14,TBMS,Tambaram Sanatorium,
CHENNAI,South Line (MS-VM),15,TBM,Tambaram,
CHENNAI,South Line (MS-VM),16,PRGL,Perungalathur,
CHENNAI,South Line (MS-VM),17,VDR,Vandalur,
CHENNAI,South Line (MS-VM),18,UPM,Urappakkam,
CHENNAI,South Line (MS-VM),19,GI,Guduvancheri,
CHENNAI,South Line (MS-VM),20,POTI,Potheri,
CHENNAI,South Line (MS-VM),21,CTM,Katangulattur,
CHENNAI,South Line (MS-VM),22,MMNK,Maraimalai Nagar Kamarajar,
CHENNAI,South Line (MS-VM),23,SKL,Singaperumal Koil,
CHENNAI,South Line (MS-VM),24,PWU,Paranur,
CHENNAI,South Line (MS-VM),25,CGL,Chengalpattu Junction,
CHENNAI,South Line (MS-VM),26,TRM,Tirumani,
CHENNAI,South Line (MS-VM),27,OV,Otivakkam,
CHENNAI,South Line (MS-VM),28,PTM,Padalam,
CHENNAI,South Line (MS-VM),29,KGZ,Karunguzhi,
CHENNAI,South Line (MS-VM),30,MMK,Madurantakam,
CHENNAI,South Line (MS-VM),31,PAK,Pakkam,
CHENNAI,South Line (MS-VM),32,MLMR,Melmaruvathur,
CHENNAI,South Line (MS-VM),33,ACK,Acharapakkam,
CHENNAI,South Line (MS-VM),34,TZD,Tozhuppu,
CHENNAI,South Line (MS-VM),35,OLA,Olakkur,
